food,Caloric_Value,Fat_Density,Saturated_Fats_Density,Monounsaturated_Fats_Density,Polyunsaturated_Fats_Density,Carbohydrates_Density,Sugars_Density,Protein_Density,Dietary_Fiber_Density,Cholesterol_Density,Sodium_Density,Water_Density,Vitamin_A_Density,Vitamin_B1_Density,Vitamin_B11_Density,Vitamin_B12_Density,Vitamin_B2_Density,Vitamin_B3_Density,Vitamin_B5_Density,Vitamin_B6_Density,Vitamin_C_Density,Vitamin_D_Density,Vitamin_E_Density,Vitamin_K_Density,Calcium_Density,Copper_Density,Iron_Density,Magnesium_Density,Manganese_Density,Phosphorus_Density,Potassium_Density,Selenium_Density,Zinc_Density,Nutrition_Density_Density,Health_Label
cream cheese,51,0.09803921568627451,0.056862745098039215,0.025490196078431372,0.00392156862745098,0.01568627450980392,0.00980392156862745,0.01764705882352941,0.0,0.28627450980392155,0.00031372549019607844,0.14901960784313725,0.00392156862745098,0.0006470588235294118,0.0012549019607843138,0.001803921568627451,0.0019019607843137256,0.0016470588235294118,0.001019607843137255,0.0018823529411764706,7.843137254901961e-05,0.0,0.0,0.00196078431372549,0.00015686274509803922,0.27647058823529413,0.001607843137254902,0.0005294117647058823,0.025490196078431372,0.001784313725490196,0.30392156862745096,0.37450980392156863,0.0007647058823529412,0.13862745098039217,Unhealthy
neufchatel cheese,215,0.09023255813953487,0.050697674418604656,0.022790697674418606,0.0037209302325581397,0.014418604651162792,0.012558139534883722,0.03627906976744186,0.0,0.2925581395348837,0.0013953488372093023,0.24930232558139537,0.0009302325581395349,0.0004604651162790698,0.0003674418604651163,0.00041860465116279067,0.00046511627906976747,0.0009302325581395349,0.002325581395348837,0.0003627906976744186,0.0,0.0,0.0013953488372093023,0.00020930232558139534,0.4627906976744186,0.00015813953488372093,0.00046511627906976747,0.03953488372093023,0.00040930232558139535,0.5455813953488372,0.6009302325581395,0.0002511627906976744,0.003255813953488372,0.6051162790697674,Unhealthy
requeijao cremoso light catupiry,49,0.07346938775510205,0.046938775510204075,0.018367346938775512,0.0,0.018367346938775512,0.06938775510204082,0.0163265306122449,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11020408163265306,Unhealthy
ricotta cheese,30,0.06666666666666667,0.043333333333333335,0.016666666666666666,6.666666666666667e-05,0.05,0.003033333333333333,0.05,0.0,0.3266666666666667,0.0005666666666666667,0.49,0.0025,0.0006333333333333333,0.0026333333333333334,0.003033333333333333,0.0009,0.0013666666666666666,0.0005333333333333334,0.00023333333333333333,0.0002,0.0,3.3333333333333335e-05,0.00036666666666666667,0.0032333333333333333,1.3733333333333335,0.0032333333333333333,0.0032,0.13333333333333333,0.0008,1.0266666666666666,1.46,0.0011666666666666668,0.1732,Unhealthy
cream cheese low fat,30,0.07666666666666666,0.04666666666666666,0.02,0.0014,0.04,0.030000000000000002,0.04,0.0,0.26999999999999996,0.0015333333333333334,0.3333333333333333,0.0005333333333333334,0.0026666666666666666,0.0020666666666666667,0.0016333333333333334,0.0008666666666666666,0.0026666666666666666,0.0033333333333333335,0.0001,0.0,0.0012,0.0003,0.0006333333333333333,0.74,0.0024,0.0002666666666666667,0.04,0.003266666666666667,0.76,1.2366666666666668,0.0011333333333333334,0.0017666666666666666,0.9002333333333333,Unhealthy
cream cheese fat free,19,0.010526315789473684,0.005263157894736842,0.004789473684210527,0.003947368421052632,0.07368421052631578,0.05263157894736842,0.14736842105263157,0.0,0.11578947368421054,0.005263157894736842,0.6789473684210526,0.0033157894736842108,0.0010526315789473684,0.004684210526315789,0.004842105263157895,0.001105263157894737,0.0013157894736842105,0.010526315789473684,0.002,0.0,0.0,0.0025789473684210526,0.003105263157894737,3.3263157894736843,0.0020526315789473684,0.002789473684210526,0.21052631578947367,0.0014736842105263158,4.9526315789473685,2.6315789473684212,0.0006842105263157894,0.015789473684210527,3.5620526315789474,Healthy
gruyere cheese,116,0.07844827586206896,0.045689655172413794,0.02413793103448276,0.004310344827586207,0.0008620689655172415,0.0008620689655172415,0.07155172413793104,0.0,0.2655172413793104,0.001724137931034483,0.08017241379310346,0.0005258620689655172,0.0001810344827586207,0.0006206896551724137,0.0006724137931034483,3.4482758620689657e-05,0.00037068965517241377,0.001724137931034483,0.0004396551724137931,0.0,0.0002931034482758621,0.0003017241379310345,0.00041379310344827585,2.4405172413793106,0.00028448275862068967,0.0008103448275862069,0.08706896551724137,1.7241379310344828e-05,1.460344827586207,0.1956896551724138,0.0006810344827586207,0.009482758620689657,2.592189655172414,Unhealthy
cheddar cheese,113,0.08230088495575222,0.046902654867256637,0.023008849557522124,0.002654867256637168,0.007964601769911504,0.0008849557522123895,0.056637168141592927,0.0,0.24513274336283186,0.001769911504424779,0.09115044247787611,0.00047787610619469027,0.0002743362831858407,4.424778761061947e-05,0.0006460176991150442,0.0008849557522123895,8.849557522123894e-05,0.0008849557522123895,4.424778761061947e-05,0.0,0.0005309734513274336,0.001769911504424779,0.0003097345132743363,1.7592920353982302,0.0008761061946902655,0.0006814159292035398,0.06725663716814159,0.0005575221238938053,1.1274336283185842,0.18849557522123894,7.964601769911504e-05,0.008849557522123894,1.9073451327433628,Unhealthy
parmesan cheese,71,0.06338028169014084,0.03802816901408451,0.019718309859154928,0.0014084507042253522,0.008450704225352112,0.0006478873239436619,0.09014084507042254,0.0,0.17183098591549295,0.0028169014084507044,0.07605633802816902,0.000943661971830986,0.0008732394366197183,0.0013943661971830986,0.0008309859154929577,0.0008028169014084507,0.0005492957746478873,0.0008450704225352112,0.0009295774647887325,0.0,0.0013380281690140844,0.00025352112676056335,0.000295774647887324,3.001408450704225,0.0007183098591549296,0.0014084507042253522,0.11126760563380282,0.001028169014084507,1.7591549295774649,0.23380281690140847,0.0006338028169014084,0.007042253521126761,3.1658732394366194,Healthy
romano cheese,19,0.06842105263157895,0.04736842105263158,0.021052631578947368,0.001842105263157895,0.010526315789473684,0.004631578947368421,0.08421052631578947,0.0,0.2736842105263158,0.0004210526315789474,0.07894736842105263,0.003368421052631579,0.0030526315789473684,0.0013684210526315789,0.0023684210526315787,0.003105263157894737,0.0028947368421052633,0.0013157894736842105,0.0015263157894736842,0.0,0.0038421052631578945,0.004105263157894737,0.0002105263157894737,2.8000000000000003,0.0024210526315789475,0.0015789473684210526,0.1105263157894737,0.00010526315789473685,2.0,0.2263157894736842,0.004578947368421052,0.005263157894736842,2.967368421052632,Unhealthy
parmesan cheese grated,21,0.06666666666666667,0.0380952380952381,0.01904761904761905,0.0017142857142857142,0.03333333333333333,0.0035714285714285713,0.06666666666666667,0.0,0.20476190476190476,0.0020476190476190472,0.05238095238095238,0.0008095238095238096,0.00014285714285714287,0.0007142857142857143,0.004333333333333333,0.003857142857142857,0.0036666666666666666,0.0027142857142857142,0.0036666666666666666,0.0003333333333333333,0.0,9.523809523809524e-05,0.0006666666666666666,0.0005714285714285715,2.0333333333333337,0.0044761904761904765,0.0044761904761904765,0.08095238095238096,0.001238095238095238,1.4952380952380953,0.42857142857142855,0.0018095238095238095,0.17833333333333334,Healthy
port salut cheese,465,0.08,0.047311827956989246,0.02645161290322581,0.002150537634408602,0.0017204301075268817,0.0017204301075268817,0.0675268817204301,0.0,0.349247311827957,0.0015053763440860215,0.12903225806451613,0.0008602150537634409,2.5806451612903226e-05,7.526881720430108e-05,0.00014408602150537634,0.0006451612903225806,4.086021505376344e-05,0.0006451612903225806,0.0001720430107526882,0.0,0.00012258064516129034,0.0006451612903225806,0.0002021505376344086,1.8451612903225807,0.00013333333333333334,0.0012903225806451613,0.06817204301075269,0.00020430107526881721,1.0219354838709678,0.3860215053763441,3.2258064516129034e-05,0.007311827956989247,1.9965591397849463,Unhealthy
swiss cheese,98,0.07857142857142857,0.046938775510204075,0.02040816326530612,0.003061224489795918,0.004081632653061225,0.0,0.06836734693877551,0.0,0.23775510204081635,0.0005816326530612245,0.09591836734693877,0.0007040816326530613,8.163265306122449e-05,0.00027551020408163264,8.163265306122449e-05,0.0001836734693877551,0.0005918367346938776,0.0010204081632653062,0.0003673469387755102,0.0,0.00016326530612244898,0.0020408163265306124,0.0005714285714285715,2.270408163265306,0.0002653061224489796,0.00024489795918367346,0.08469387755102041,0.0006326530612244898,1.4642857142857142,0.1836734693877551,0.0003163265306122449,0.011224489795918368,2.422408163265306,Healthy
goat cheese hard,128,0.07890625,0.0546875,0.01796875,0.0015625,0.0046875,0.0046875,0.0671875,0.0,0.23203125,0.00059375,0.0640625,0.00078125,0.0005546875,0.0002734375,0.0007265625,0.00234375,0.00546875,0.00078125,5.46875e-05,0.0,0.00034375,0.0006484375,0.0003046875,1.97890625,0.0015625,0.00390625,0.11953125,0.0006875,1.61171875,0.10625,0.000640625,0.003125,2.134375,Healthy
gouda cheese,100,0.077,0.049,0.022000000000000002,0.002,0.006,0.006,0.07,0.0,0.319,0.002,0.11599999999999999,0.00053,0.00016,0.00042,0.0001,8.999999999999999e-05,0.0008100000000000001,0.00010999999999999999,0.00053,0.0,0.0004,0.00026,0.00074,1.96,0.00013,0.0006,0.081,0.0008,1.5290000000000001,0.33899999999999997,0.0005,0.011000000000000001,2.11424,Unhealthy
